Table ES-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,HFCs,46.6,42.2,48.0,48.1,53.8,73.0,82.7,93.0,112.1,108.9,113.7,108.9,115.5,107.8,117.6,119.9,124.3,136.0,140.5,139.4,149.4,154.3,155.9,158.9,166.7
,Substitution of Ozone Depleting Substancesc,0.3,0.6,1.8,6.0,13.6,31.0,42.9,54.5,61.6,69.9,77.1,83.7,88.6,92.1,95.6,99.7,106.6,114.3,123.1,132.4,141.2,145.3,150.2,154.6,161.2
,HCFC-22 Production,46.1,41.4,46.0,41.9,39.9,41.7,39.4,38.1,49.9,38.5,36.2,25.0,26.7,15.6,21.8,20,17.5,21.5,17.2,6.8,8,8.8,5.5,4.1,5
,Semiconductor Manufacture,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
,Magnesium Production and Processing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1
,PFCs,24.3,20.9,19.5,19.5,18.0,18.6,19.9,18.3,17.0,16.9,15.9,8.2,10.2,8.2,6.8,6.7,6.3,7.8,6.1,3.9,4.5,7,6,5.8,5.6
,Semiconductor Manufacture,2.8,2.8,2.8,3.5,3.9,4.9,5.4,5.7,7.0,7.1,6.0,4.2,4.1,3.8,3.5,3.2,3.4,3.3,2.9,2.0,2.7,3.5,3.1,2.9,3
,Aluminum Production,21.5,18.1,16.7,16.0,14.1,13.8,14.5,12.6,10.0,9.8,9.9,4.0,6.1,4.4,3.3,3.4,2.9,4.5,3.2,1.9,1.9,3.5,2.9,3,2.5
,SF6,31.1,29.8,29.9,29.4,28.0,26.6,25.9,24.2,21.2,20.9,17.9,17.1,16.1,15.8,14.6,14.0,12.8,11.2,10.3,9.3,9.5,10,7.6,7.2,7.3
,Electrical Transmission and Distribution,25.4,24.3,24.2,23.5,22.1,20.4,18.7,17.1,14.5,14.9,14.0,13.7,12.7,11.9,11.2,10.6,9.3,8.2,8.1,7.3,7,6.8,5.6,5.4,5.6
,Magnesium Production and Processing,5.2,4.9,5.2,5.3,5.2,5.4,6.3,6.0,5.4,4.8,2.9,2.7,2.8,3.3,2.7,2.7,2.8,2.5,1.8,1.6,2.1,2.8,1.6,1.5,1
,Semiconductor Manufacture,0.5,0.5,0.5,0.6,0.7,0.9,1.0,1.0,1.2,1.3,1.0,0.7,0.6,0.7,0.7,0.7,0.7,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.7
,NF3,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.5,0.6,0.5,0.7,0.6,0.6,0.5,0.6,0.7,0.6,0.6,0.5
,Semiconductor Manufacture,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.5,0.6,0.5,0.7,0.6,0.6,0.5,0.6,0.7,0.6,0.6,0.5
,Total Emissions,6397.1,6330.9,6448.7,6566.4,6650.3,6748.5,6949.8,7000.0,7066.8,7090.4,7259.0,7140.9,7185.3,7225.0,7370.0,7378.8,7316.1,7422.2,7216.4,6776.2,6985.5,6865.4,6643,6800,6870.5
,LULUCF Emissionsd,15,15.9,12.2,10.9,19.5,11.4,16.3,11.1,14.3,19.3,25.2,19.0,32.3,23.2,31.5,28.2,25.5,32.6,25.7,22.6,17.8,22.9,32.3,24.1,24.6
,LULUCF Total Net Fluxe,-753,-755.2,-757.7,-740.1,-762.6,-713.8,-721.2,-708.6,-696.7,-705.0,-708.2,-701.5,-695.1,-700.6,-711.2,-726.7,-744.9,-723.7,-712.4,-756.2,-784.3,-784.9,-782,-783.7,-787
,LULUCF Sector Totalf,-738,-739.3,-745.5,-729.2,-743.1,-702.4,-704.9,-697.5,-682.3,-685.7,-683.0,-682.4,-662.8,-677.4,-679.7,-698.5,-719.4,-691.1,-686.7,-733.6,-766.4,-762,-749.7,-759.6,-762.5
,Net Emissions (Sources and Sinks),5659.2,5591.6,5703.1,5837.2,5907.2,6046.1,6245.0,6302.5,6384.5,6404.7,6576.0,6458.5,6522.5,6547.6,6690.3,6680.3,6596.7,6731.1,6529.7,6042.6,6219,6103.4,5893.3,6040.4,6108
,Notes: Total emissions presented without LULUCF. Net emissions presented with LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Emissions from Wood Biomass and Ethanol Consumption are not included specifically in summing Energy sector totals.  Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for Land Use, Land-Use Change, and Forestry.",,,,,,,,,,,,,,,,,,,,,,,,,
,b Emissions from International Bunker Fuels are not included in totals.,,,,,,,,,,,,,,,,,,,,,,,,,
,c Small amounts of PFC emissions also result from this source.,,,,,,,,,,,,,,,,,,,,,,,,,
,"d LULUCF emissions include the CO2, CH4, and N2O emissions reported for Non-CO2 Emissions from Forest Fires, N2O Fluxes from Forest Soils, CO2 Emissions from Agricultural Liming, CO2 Emissions from Urea Fertilization, Peatlands Remaining Peatlands, and N2O Fluxes from Settlement Soils.",,,,,,,,,,,,,,,,,,,,,,,,,
,"e Net CO2 flux is the net C stock change from the following categories: Forest Land Remaining Forest Land, Land Converted to Forest Land, Cropland Remaining Cropland, Land Converted to Cropland, Grassland Remaining Grassland, Land Converted to Grassland, Settlements Remaining Settlements, and Other. Refer to Table ES-5 for a breakout of emissions and removals for Land Use, Land-Use Change, and Forestry by gas and source category.",,,,,,,,,,,,,,,,,,,,,,,,,
,"f The LULUCF Sector Total is the net sum of all emissions (i.e., sources) of greenhouse gases to the atmosphere plus removals of CO2 (i.e., sinks or negative emissions) from the atmosphere.",,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:  Totals may not sum due to independent rounding.  Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,
