Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Average Annual Change
,HFCs,NC,NC,NC,-1.0,-2.1,-4.0,-5.9,-7.7,-9.0,-10.2,-11.2,-11.8,-12.1,-12.3,-12.6,-11.4,-9.8,-7.7,-5.1,-3.5,-3.1,-3,-3.5,-3.7,-6.3
,Substitution of Ozone Depleting Substances,NC,NC,NC,-1.0,-2.1,-4.0,-5.9,-7.7,-9.0,-10.2,-11.2,-11.8,-12.1,-12.4,-12.6,-11.4,-9.9,-7.7,-5.2,-3.6,-3.2,-3.1,-3.4,-4,-6.3
,HCFC-22 Production,NC,NC,NC,-1.0,-2.1,-4.0,-5.9,-7.7,-9.0,-10.2,-11.2,-11.8,-12.1,-12.4,-12.6,-11.4,-9.9,-7.7,-5.2,-3.6,-3.2,-3.1,-3.4,-4,-6.3
,Semiconductor Manufacture,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,NC,NC,NC,NC,NC
,Magnesium Production and Processing,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+
,PFCs,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,0.1,+,NC,NC,NC,NC,NC
,Aluminum Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.1,0.1,+,+,+
,Semiconductor Manufacture,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,0.1,+,NC,NC,NC,NC,NC
,SF6,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,0.1,0.1,+,+,+
,Electrical Transmission and Distribution,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,+,-0.1,0.3,+
,Semiconductor Manufacture,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,+,-0.1,0.3,+
,Magnesium Production and Processing,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+
,NF3,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,NC,NC,NC,+,+
,Semiconductor Manufacture,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Net Change in Total Emissionsb,96.1,60.1,73.2,64.9,50.8,53.9,31.9,34.8,73.9,35.9,46.3,29.9,33.3,45.5,55.4,28.6,34.0,22.4,24.6,53.5,86.6,88.8,97.9,127,
,Percent Change,1.50%,1.0%,1.1%,1.0%,0.8%,0.8%,0.5%,0.5%,1.1%,0.5%,0.6%,0.4%,0.5%,0.6%,0.8%,0.4%,0.5%,0.3%,0.3%,0.8%,1.30%,1.30%,1.50%,1.90%,
,Note: Net change in total emissions presented without LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,
,NC - No Change,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Absolute value does not exceed 0.05 MMT CO2 Eq. or 0.05 percent.,,,,,,,,,,,,,,,,,,,,,,,,,
,a Not included in emissions total.,,,,,,,,,,,,,,,,,,,,,,,,,
,b Totals effect of recalculations is underestimated because the 1990 through 2013 Inventory included emissions frolm LULUCF in totals.,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values.,,,,,,,,,,,,,,,,,,,,,,,,,
